"Code","Attribuutwaarde","Definitie attribuutwaarde","Herkomst definitie","Inwinningscriteria","Volledigheid","Punt","Lijn","Vlak","Datum vanaf","Datum tot"
"akkerland","akkerland","Terreindeel in gebruik als akker, met gewassen die in een teelt-roulatieschema zijn opgenomen. Kan tijdelijk zonder gewas zijn of braak liggen.","SOR","-","-","nee","nee","ja","01-01-2026","-"
"bomenrij","bomenrij","Aantal bomen (minimaal 3) die in een rij staan, waarbij de onderlinge afstand tussen de bomen zodanig is dat de bomenrij tot manshoogte geen zichtbelemmering vormt.","BRT","-","-","nee","ja","nee","01-01-2026","-"
"boom","boom","Houtachtig gewas met een enkele, stevige, houtige en overblijvende stam, die zich op een zekere hoogte boven de grond vertakt.","BRT","-","-","ja","nee","nee","01-01-2026","-"
"boomgaard","boomgaard","Terrein begroeid met hoogstamfruitbomen.","SOR","-","-","nee","nee","ja","01-01-2026","-"
"boomkwekerij","boomkwekerij","Terrein, overwegend in gebruik t.b.v. het opkweken van bomen (inclusief coniferen en sparren) en struiken, waarbij de hoogte van de aanplant niet van belang is.","SOR","-","-","nee","nee","ja","01-01-2026","-"
"duin","duin","Verhoging of heuvel van zand of fijne losse aarde en verpulverd gesteente opgeworpen door wind of door stromend water.","BGT","-","-","nee","nee","ja","01-01-2026","-"
"fruitkwekerij","fruitkwekerij","Terrein begroeid met laagstamfruitbomen, druivenstokken of begroeid met heesters voor zachtfruit zoals bessen of frambozen.","SOR","-","-","nee","nee","ja","01-01-2026","-"
"gemengd bos","gemengd bos","Terreindeel begroeid met een dusdanige aantal naald- en loofbomen dat deze een min of meer gesloten geheel vormen of, na volgroeiing van de bomen, zullen vormen.","BGT","-","-","nee","nee","ja","01-01-2026","-"
"grasland agrarisch","grasland agrarisch","Terreindeel met een vegetatie bestaande uit grassen en of grasachtigen, en met de in graslanden voorkomende kruiden, zijnde cultuurgrasland dat in gebruik is voor de veeteelt, bijvoorbeeld als weiland of als hooiland.","BGT","-","-","nee","nee","ja","01-01-2026","-"
"grasland overig","grasland overig","Terreindeel met een vegetatie bestaande uit grassen en of grasachtigen, en met de in graslanden voorkomende kruiden, dat niet in gebruik is voor agrarische doeleinden.","BGT","-","-","nee","nee","ja","01-01-2026","-"
"griend en hakhout","griend en hakhout","Terreindeel met opgaande begroeiing van loofbomen, in een dicht groeiverband, en die periodiek wordt afgezet.","BGT","-","-","nee","nee","ja","01-01-2026","-"
"heg, haag","heg, haag","Rij bomen, al of niet in combinatie met struiken, waarbij de onderlinge afstand of onderbegroeiing zodanig is dat tot minstens manshoogte het zicht belemmerd wordt (heg). / Een rij naast elkaar geplante struiken (liguster, haagdoorn, coniferen, haagbeuk, e.d.) die op gezette tijden worden geschoren (haag).","BRT","Maximale inplantbreedte van de stammen: 3 meter (heg). / Minimale hoogte 1 meter, minimumlengte: 100 meter (haag)","-","nee","ja","nee","01-01-2026","-"
"heide","heide","Terreindeel overwegend begroeid met heide en heideachtige vegetaties.","BGT","-","-","nee","nee","ja","01-01-2026","-"
"houtwal","houtwal","Terreindeel zijnde een afscheiding met beperkte breedte en beplant met bomen of struiken.","BGT","-","-","nee","nee","ja","01-01-2026","-"
"kwelder","kwelder","Buitendijks gelegen aangeslibd land van een wad, dat bij gewone vloed niet meer onder loopt.","BGT","-","-","nee","nee","ja","01-01-2026","-"
"loofbos","loofbos","Terreindeel begroeid met een dusdanige aantal loofbomen dat deze een min of meer gesloten geheel vormen of, na volgroeiing van de bomen, zullen vormen.","BGT","-","-","nee","nee","ja","01-01-2026","-"
"moeras","moeras","Terreindeel met moerasvegetatie in stilstaand water van geringe diepte zonder merkbare toe- of afvloeiing.","BGT","-","-","nee","nee","ja","01-01-2026","-"
"naaldbos","naaldbos","Terreindeel begroeid met een dusdanige aantal naaldbomen dat deze een min of meer gesloten geheel vormen of, na volgroeiing van de bomen, zullen vormen.","BGT","-","-","nee","nee","ja","01-01-2026","-"
"rietland","rietland","Terreindeel overwegend begroeid met rietvegetatie.","BGT","-","-","nee","nee","ja","01-01-2026","-"
"struiken","struiken","Terreindeel bedekt met niet-gecultiveerde (natuurlijke), lage, houtachtige, overblijvende planten gekenmerkt door verschillende vertakkingen dicht bij de wortel en afwezigheid van opvallende stammen.","BGT","-","-","nee","nee","ja","01-01-2026","-"
"ongeclassificeerd","ongeclassificeerd","Het typeBegroeiing is anders dan de beschikbare attribuutwaarden.","BRT","-","-","nee","nee","ja","01-01-2026","-"
