"Code","Attribuutwaarde","Definitie attribuutwaarde","Herkomst definitie","Populatiebeschrijving","Volledigheid","Punt","Lijn","Vlak","Datum vanaf","Datum tot"
"affakkeltoren","affakkeltoren","Installatie om brandbare gassen veilig af te voeren en te verbranden.","BRT","-","-","ja","nee","nee","01-01-2026","-"
"baken","baken","Constructie op het land die dient als oriëntatie voor de scheepvaart.","BRT","Krib- en kopbakens, bedoeld om de fysieke grens van de vaarweg aan te geven, worden niet opgenomen.","-","ja","nee","nee","01-01-2026","-"
"bezinkbak","bezinkbak","Een gesloten reservoir waarin het afvalwater tijdelijk wordt opgevangen met een slibreinigende voorziening.","BGT","Een beluchtingsbassin wordt ook opgenomen als bezinkbak.","-","nee","nee","ja","01-01-2026","-"
"calamiteitendoorgang","calamiteitendoorgang","Doorgang in de verkeersgeleider of wegafsluiting die hulpdiensten doorgang moet verlenen voor het bestrijden van calamiteiten.","BRT","-","-","nee","ja","nee","01-01-2026","-"
"dok","dok","Constructie bedoeld om schepen uit het water te halen en vervolgens weer in het water te laten.","SOR","-","-","nee","nee","ja","01-01-2026","-"
"gedenkteken, monument","gedenkteken, monument","Topografisch object ter nagedachtenis van een belangrijke persoon of gebeurtenis.","BRT","Religieuze standbeelden worden opgenomen als 'religieus object'.","-","ja","nee","nee","01-01-2026","-"
"geluidsscherm","geluidsscherm","Een scheiding bedoeld om geluidshinder in de buitenlucht te verminderen.","BGT","De minimum lengte van een geluidsscherm is 100 meter. ","-","nee","ja","nee","01-01-2026","-"
"GNSS kernnetpunt","GNSS kernnetpunt","Punt geschikt voor GNSS-metingen (kan een steen of bout zijn).","BRT","De hoogte van een GNSS kernnetpunt is gegeven t.o.v. NAP.|Alleen recent gecontroleerde GPS-kernnetpunten worden opgenomen in de BRT.","-","ja","nee","nee","01-01-2026","-"
"grenspunt","grenspunt","Aanduiding van een grensscheiding.","BRT","Op een gemeentegrens of provinciegrens worden alleen grote, markante palen opgenomen (een stalen paal met een gemeentenaambordje wordt niet als markant gezien).|Indien er langs de grens dubbele grenspalen aanwezig zijn (bijvoorbeeld aan weerszijden van een waterloop) wordt er slechts één grenspaal gegeven.|Bij de actualisatie worden grenspalen alleen gecontroleerd in de buurt van nieuwe topografie. Overige grenspalen worden niet gecontroleerd.","-","ja","nee","nee","01-01-2026","-"
"hek","hek","Begrenzing van een terrein in de vorm van een afrastering.","BRT","De minimale lengte van een hek is 300 meter en de minimale hoogte van een hek is 1 meter.|Op een Bodem van het typeBodem = 'erf' worden alleen de hekken die direct aan de straatzijde zijn gelegen opgenomen.","-","nee","ja","nee","01-01-2026","-"
"hunebed","hunebed","Voorhistorische begraafplaats, bestaande uit opgestapelde, reusachtige stenen.","BRT","-","-","ja","nee","nee","01-01-2026","-"
"kabelbaan","kabelbaan","Vervoermiddel waarbij één of meer stoeltjes of cabines door middel van een in de lucht hangende kabel over een traject worden getrokken.","BRT","-","-","nee","ja","nee","01-01-2026","-"
"kabelbaanmast","kabelbaanmast","Mast of stellage ter ondersteuning van de kabel van een kabelbaan.","BRT","-","-","ja","nee","nee","01-01-2026","-"
"kilometerpaal spoor","kilometerpaal spoor","Paal waarop de kilometrering van een spoorweg wordt aangegeven.","BRT","Een kilometerpaal spoor wordt alleen opgenomen langs treinspoor.|Alleen de palen met een gehele kilometeraanduiding worden opgenomen.","-","ja","nee","nee","01-01-2026","-"
"kilometerpaal water","kilometerpaal water","Paal waarop de kilometrering van een water wordt aangegeven.","BRT","Alleen de palen met een gehele kilometeraanduiding worden opgenomen.","-","ja","nee","nee","01-01-2026","-"
"kilometerpaal weg","kilometerpaal weg","Paal waarop de kilometrering van een weg wordt aangegeven.","BRT","Alleen de palen met een gehele kilometeraanduiding worden opgenomen.","-","ja","nee","nee","01-01-2026","-"
"klokkenstoel","klokkenstoel","Stellage van balken (ongeacht het soort materiaal), meestal voorzien van een afdak, waarin een of meerdere klokken hangen.","BRT","-","-","ja","nee","nee","01-01-2026","-"
"koeltoren","koeltoren","Toren voor het afkoelen van overtollige warmte uit productieprocessen.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"luchtwachttoren","luchtwachttoren","Toren oorspronkelijk gebruikt t.b.v. het bewaken van het luchtruim.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"markant object","markant object","Een object dat vanuit de wijde omgeving zichtbaar is en een oriënterende waarde heeft.","BRT","Een object wordt als markant object opgenomen indien het niet kan worden opgenomen in een meer specifieke categorie (bijvoorbeeld als gebouw, constructie, paal, gedenkteken, zendmast, schoorsteen).|Voor kunstwerken en reclame-uitingen gelden extra voorwaarden:|- Reclamemasten worden pas als markant object gegeven indien de mast reclame van meerdere bedrijven voert.|- Kunstwerken worden pas opgenomen als markant object indien het object opvallend groot is (richtlijn: meer dan 5 meter hoog). Binnen bebouwd gebied worden ze genegeerd, met uitzondering van kunstwerken die als blikvanger dienen langs de toegangswegen naar een stad of dorp en voldoen aan de gegeven richtlijn voor de maatvoering.","-","ja","nee","nee","01-01-2026","-"
"muur","muur","Een scheiding gemaakt van steen.","BGT","De minimale lengte van een muur is 30 meter en de minimale hoogte van een muur is 50 centimeter.|Op een Bodem van het typeBodem = 'erf' worden alleen de muren die direct aan de straatzijde zijn gelegen opgenomen.","-","nee","ja","nee","01-01-2026","-"
"opslagtank","opslagtank","Constructie in de vorm van een bovengrondse, afgesloten opslagfaciliteit bestemd voor gassen, energie of vloeistoffen.","BRT","De minimum diameter van een opslagtank is 4 meter (bij een liggende tank geldt de breedtemaat).|Een mesttank afgedekt met een drijfzeil wordt opgenomen als opslagtank.|Een open opslagfaciliteit wordt gegeven als reservoir.","-","nee","nee","ja","01-01-2026","-"
"paal","paal","Stevig, langwerpig, rechtop in de grond geplaatst merkteken ter afbakening. / Kilometrering van een dijklichaaam.","BRT","Van de kilometrering van een dijk worden alleen de palen met een gehele kilometeraanduiding opgenomen.","-","ja","nee","nee","01-01-2026","-"
"plaatsnaambord","plaatsnaambord","Bord dat de naam weergeeft van een bewoond oord.","BRT","Een plaatsnaambord wordt opgenomen als een lijn over de weg ter hoogte van het bord.|Een bebouwdekombord (blauw bord met witte letters) en een informeel plaatsnaambord (doorgaans een wit bord met zwarte of blauwe letters) worden opgenomen als plaatsnaambord.","-","ja","ja","nee","01-01-2026","-"
"radiotelescoop","radiotelescoop","Instrument waarmee men radiogolven uit de kosmische ruimte kan opvangen.","BRT","Een gebied met één of meer sensoren die onderdeel zijn van een radioastronomisch instrument (zoals LOFAR), geven we aan als functionele ruimte 'gebied voor radio-astronomie'.","-","ja","nee","nee","01-01-2026","-"
"religieus object","religieus object","Object tot bezinning en/of verering in de vorm van een kruis of heiligenbeeld.","BRT","Een religieus object in de vorm van een kruis wordt met de soortnaam 'kruis' aangeduid.","-","ja","nee","nee","01- 01-2026","-"
"reservoir","reservoir","Constructie voor het (tijdelijk) bergen van water.","SOR","Een bassin voor dieren wordt opgenomen als reservoir.|Een mesttank afgedekt met een drijfzeil wordt opgenomen als opslagtank.-","-","nee","nee","ja","01-01-2026","-"
"ruïne","ruïne","Overblijfsel van een verwoest of door ouderdom vervallen gebouw.","BRT","Minimaal een deel van een muur van de constructie moet nog overeind staan om als ruïne gegeven te worden.|Alleen een constructie als ruïne aangeven als het een historische constructie is (in terrein te zien aan bebording, naamgeving, gedenkteken, etc.). Als een (niet historisch) gebouw / huis vervallen of verwoest is, dan wordt dit object als gebouw opgenomen.","-","ja","nee","ja","01-01-2026","-"
"scheepvaartlicht","scheepvaartlicht","Stellage die een licht draagt t.b.v. de scheepvaart.","BRT","-","-","ja","nee","nee","01-01-2026","-"
"schoorsteen","schoorsteen","Pijp voor het afvoeren van verbrandingsgassen.","BRT","De minimum hoogte voor een schoorsteen is 15 meter.|Een schoorsteen op een gebouw heeft een relatieveHoogteligging groter dan die van het onderliggende gebouw.-","-","ja","nee","ja","01-01-2026","-"
"strandpaal","strandpaal","Paal op het strand of in de duinen, geplaatst als hulpmiddel bij het uitvoeren van metingen.","BRT","-","-","ja","nee","nee","01-01-2026","-"
"uitzichtpunt","uitzichtpunt","Punt met fraai uitzicht. / Bouwwerk permanent ingericht om te kunnen observeren.","BRT","-","-","ja","nee","nee","01-01-2026","-"
"uitzichttoren","uitzichttoren","Toren die gebruikt wordt om vanuit een hoog punt de wijde omgeving te kunnen bekijken.","BRT","-","-","ja","nee","ja","01-01-2026","-"
"wegafsluiter","wegafsluiter","Een fysieke permanente of tijdelijke barrière in of dwars over een weg voor tenminste een gedeelte van de gebruikers van die weg (bijvoorbeeld paaltjes, slagboom of toegangshek).","BRT","Een wegafsluiting in een bos wordt alleen opgenomen indien deze voorkomt op een verharde of halfverharde weg.|Paaltjes en zigzaghekken aan het begin, eind of in voet- en fietspaden worden niet opgenomen.","-","ja","ja","nee","01-01-2026","-"
"wegwijzer","wegwijzer","Bord langs een weg waarop aangegeven is in welke richting een bepaalde plek ligt en eventueel hoe ver het is.","BRT","Een wegwijzer wordt niet gegeven langs een autosnelweg en een autoweg.|Een wegwijzer wordt binnen bebouwd gebied alleen gegeven langs een hoofdweg, regionale weg of lokale weg.","-","ja","nee","nee","01-01-2026","-"
"windmolentje","windmolentje","Een vrij op de wind draaiend molentje (met wieken of een rad van schoepen) van metaal en/of kuststof, bestemd voor het bemalen van een sloot (windmotor). / Klein type molen, herkenbaar aan schuin op een stellage geplaatste wieken, bestemd voor het bemalen van het omliggende terrein (tjasker).","BRT","-","-","ja","nee","nee","01-01-2026","-"
"zendmast","zendmast","Hoge paal of open constructie t.b.v. de overdracht van data-, radio- en televisiesignalen.","BRT","De minimumhoogte van een zendmast is 15 meter.|Als een zendmast op een gebouw staat, moet de zendmast zelf minimaal 15 meter hoog zijn.","-","ja","nee","nee","01-01-2026","-"
"zwembad","zwembad","Constructie in de vorm van een bassin bedoeld om in te zwemmen.","SOR","Alleen zwembaden die openbaar toegankelijk zijn, worden opgenomen.|Een bassin voor dieren wordt opgenomen als reservoir.","-","nee","nee","ja","01-01-2026","-"
"ongeclassificeerd","ongeclassificeerd","Het typeConstructie is anders dan de beschikbare attribuutwaarden.","BRT","-","-","ja","ja","ja","01-01-2026","-"
