"Code","Attribuutwaarde","Definitie attribuutwaarde","Herkomst definitie","Inwinningscriteria","Volledigheid","Punt","Lijn","Vlak","Datum vanaf","Datum tot"
"asielzoekerscentrum","asielzoekerscentrum","Een opvanglocatie voor asielzoekers die in Nederland verblijven.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"attractiepark","attractiepark","Terrein waar ter ontspanning en vermaak verscheidene attracties permanent zijn opgesteld.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"bedrijventerrein","bedrijventerrein","Het geheel aan gebouwen en terreinen ten behoeve van bedrijven en industrie, inclusief bijvoorbeeld toevoerwegen of tussengelegen water.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"begraafplaats","begraafplaats","Het geheel aan voorzieningen t.b.v. het begraven en herdenken van overledenen.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"botanische tuin","botanische tuin","Tuin met verschillende soorten planten en/of bomen voor wetenschappelijke, educatieve of kunstzinnige doeleinden.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"bungalowpark","bungalowpark","Oppervlak bebouwd met recreatiewoningen.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"busstation","busstation","Een plaats waar verschillende buslijnen samenkomen en waar meerdere bushaltes aanwezig zijn, met het doel dat buspassagiers hier kunnen in-, uit- of overstappen.","BRT","-","-","ja","nee","ja","01-01-2026","-"
"camping, kampeerterrein","camping, kampeerterrein","Terrein met voorzieningen t.b.v. verblijfsrecreatie voornamelijk voor tenten, caravans en campers.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"campus","campus","Een universiteitsterrein waarop gebouwen en voorzieningen voor zowel docenten als studenten aanwezig zijn.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"caravanpark","caravanpark","Terrein met voorzieningen t.b.v. verblijfsrecreatie voornamelijk ingericht met stacaravans.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"circuit","circuit","Terrein met een verhard parcours voor snelheidswedstrijden, behendigheidsoefeningen en het testen van voertuigen en hiervoor uitgerust met de nodige voorzieningen.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"crossbaan","crossbaan","Onverhard terrein voor snelheidswedstrijden en hiervoor uitgerust met de nodige voorzieningen.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"dierentuin, safaripark","dierentuin, safaripark","Publieke tuin / park waarin een verzameling inheemse en uitheemse dieren is ondergebracht (dierentuin). / Groot park met wilde dieren, waar men met een auto kan rijden (safaripark).","BRT","-","-","nee","nee","ja","01-01-2026","-"
"drinkwatervoorziening","drinkwatervoorziening","Een gebied met voorzieningen voor de productie, opslag en distributie van drinkwater.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"eendenkooi","eendenkooi","Stuk land en water met een karakteristieke vorm, ingericht om wilde eenden te vangen.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"elektriciteitscentrale","elektriciteitscentrale","Een terrein met voorzieningen voor de fabrieksmatige opwekking van elektriciteit.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"emplacement","emplacement","Het totaal aan sporen op een terrein ten behoeve van het rangeren en stallen van treinen.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"erebegraafplaats","erebegraafplaats","Begraafplaats voor gesneuvelde militairen.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"gasvoorziening, olievoorziening","gasvoorziening, olievoorziening","Gebied met installatie(s) t.b.v. de winning en/of transport van aardgas en/of aardolie.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"gebied voor radio-astronomie","gebied voor radio-astronomie","Gebied waarin sensoren opgesteld zijn ten behoeven van radio-astronomie.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"geluidswering","geluidswering","Voorziening bedoeld om geluidshinder in de buitenlucht te verminderen.","SOR","-","-","nee","nee","ja","01-01-2026","-"
"gevangeniscomplex","gevangeniscomplex","Een terrein met voorzieningen waar personen in verzekerde bewaring worden gesteld.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"golfterrein","golfterrein","Terrein toegerust voor de uitoefening van de golfsport.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"grafheuvel","grafheuvel","Voorhistorische begraafplaats in de vorm van een heuvel.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"grindwinning, zandwinning","grindwinning, zandwinning","Gebied waar winning van grind en/of zand plaatsvindt.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"groeve","groeve","Opengegraven ruimte waaruit een delfstof gewonnen wordt.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"haven","haven","Lig- en bergplaats voor vaartuigen, inclusief het omliggende terrein.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"heemtuin","heemtuin","Tuin waar de inheemse flora en fauna ter instructie te bezichtigen zijn.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"helikopterlandingsplaats","helikopterlandingsplaats","Gebied dat dient als landings- en opstijgplaats voor helikopters.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"ijsbaan","ijsbaan","Terrein dat in de winter onder water wordt gezet om te dienen als schaatsgelegenheid of dat is voorzien van een installatie waarmee een ijsvloer kan worden gelegd.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"jachthaven","jachthaven","Lig- en bergplaats voor pleziervaartuigen, tezamen met het omliggende terrein.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"kassengebied","kassengebied","Gebied bestaande uit meerdere landbouwkassen.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"kazerne, legerplaats, vliegbasis","kazerne, legerplaats, vliegbasis","Terrein met militaire gebouwen en infrastructuur.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"landgoed","landgoed","Buitenverblijf met omliggende landerijen.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"metrostation","metrostation","Het geheel aan voorzieningen t.b.v. passagiers van het openbaar vervoer per metro.","BRT","-","-","ja","nee","ja","01-01-2026","-"
