"Code","Attribuutwaarde","Definitie attribuutwaarde","Herkomst definitie","Populatiebeschrijving","Volledigheid","Punt","Lijn","Vlak","Datum vanaf","Datum tot"
"bezoekerscentrum","bezoekerscentrum","Een publiek gebouw waar informatie aangeboden wordt aan bezoekers.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"brandweerkazerne","brandweerkazerne","Gebouw voor het stationeren van materieel en manschappen t.b.v. brandbestrijding.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"crematorium","crematorium","Gebouw dat dient voor lijkverbranding en uitvaartplechtigheden.","BRT","Een dierencrematorium wordt niet opgenomen als crematorium.","-","nee","nee","ja","01-01-2026","-"
"elektriciteitscentrale","elektriciteitscentrale","Gebouw waarin elektriciteit wordt opgewekt.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"gemaal","gemaal","Gebouw om water van een lager naar een hoger niveau te brengen. Het gemaal brengt of houdt het water in een gebied op een bepaald niveau.","BRT","Een gemaal dat niet voldoet aan de definitie van een gebouw wordt opgenomen als gebouwpunt.|Een rioolgemaal wordt niet opgenomen als gemaal.","-","ja","nee","ja","01-01-2026","-"
"gemeentehuis","gemeentehuis","Gebouw waarin de gemeentelijke secretarie gevestigd is.","BRT","Dependances van het gemeentehuis worden als 'stadskantoor, hulpsecretarie' aangegeven. Indien het gemeentehuis omwille van ruimtegebrek over verschillende gebouwen is verspreid, is er geen sprake van dependances.","-","nee","nee","ja","01-01-2026","-"
"gevangenis","gevangenis","Gebouwen waarin personen in verzekerde bewaring worden gesteld.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"kunstijsbaan","kunstijsbaan","Gebouw voorzien van een installatie waarmee in het gebouw een ijsvloer kan worden gelegd.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"observatorium","observatorium","Gebouw t.b.v. het doen van waarnemingen in de ruimte.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"politiebureau","politiebureau","Gebouw waarin een kantoor of bezoeklocatie van de politie is gevestigd.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"psychiatrisch centrum","psychiatrisch centrum","Instelling voor het verzorgen en/of behandelen van patiënten met psychische problemen.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"radarstation","radarstation","Plaats waar waarnemingen worden gedaan met behulp van radar, m.n. om vliegtuigen en scheepsbewegingen te observeren.","BRT","Een radarstation dat niet voldoet aan de definitie van van een gebouw wordt opgenomen als gebouwpunt.","-","ja","nee","ja","01-01-2026","-"
"reddingsstation","reddingsstation","Gebouw met boothuis en bijbehorende faciliteiten voor reddingsoperaties te water en op het strand.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"remise","remise","Wagenloods voor openbare vervoermiddelen.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"schaapskooi","schaapskooi","Stal bedoeld als onderkomen voor schapen die de heide begrazen.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"school","school","Instelling voor basis-, voortgezet-, speciaal-, middelbaar- of hoger onderwijs.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"sporthal","sporthal","Grootschalige voorziening voor de beoefening van uiteenlopende sporten.","BRT","Een gebouw met een standaardhal van minimaal 1056 m² (24 x 44 meter) wordt opgenomen als sporthal.|Een gebouw met een kleinere standaardhal of -zaal (maximaal 896 m²) wordt opgenomen als sporthal met de soortnaam 'Sportzaal'.|Een gebouw met hallen of zalen voor één specifieke sport wordt opgenomen als een sporthal met een soortnaam die aangeeft voor welke sport de hal bestemd is.|Een gymzaal bij een school wordt niet opgenomen als sporthal.|Een sportschool wordt niet opgenomen als sporthal.","-","nee","nee","ja","01-01-2026","-"
"stadskantoor, hulpsecretarie","stadskantoor, hulpsecretarie","Bureau waar gemeentelijke instellingen, bijvoorbeeld de burgerlijke stand, gevestigd zijn.","BRT","Dependances van het gemeentehuis worden als 'stadskantoor, hulpsecretarie' aangegeven. Indien het gemeentehuis omwille van ruimtegebrek over verschillende gebouwen is verspreid, is er geen sprake van dependances.","-","nee","nee","ja","01-01-2026","-"
"universiteit","universiteit","Instelling voor wetenschappelijk onderwijs met tenminste drie faculteiten.","BRT","Particuliere onderwijslocaties voor wetenschappelijk onderwijs worden niet opgenomen als universiteit.","-","nee","nee","ja","01-01-2026","-"
"ziekenhuis","ziekenhuis","Medisch-specialistisch centrum voor voor onderzoek, behandeling en verpleging van patiënten.","BRT","Poliklinieken worden ook opgenomen als ziekenhuis.","-","nee","nee","ja","01-01-2026","-"
"zwembad","zwembad","Openbare zwemgelegenheid met één of meer bassins die overdekt zijn.","BRT","-","-","nee","nee","ja","01-01-2026","-"
