"Code","Attribuutwaarde","Definitie attribuutwaarde","Herkomst definitie","Inwinningscriteria","Volledigheid","Punt","Lijn","Vlak","Datum vanaf","Datum tot"
"botenhuis","botenhuis","Gebouw boven het water voor de opslag van een of meer boten.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"bunker","bunker","Versterkte (schuil)plaats te gebruiken in tijden van oorlog of ramp zowel voor burger- als militaire doeleinden. Kan ook (gedeeltelijk) ondergronds gelegen zijn.","BRT","-","-","ja","nee","ja","01-01-2026","-"
"kapel","kapel","Gebouw van beperkte omvang ingericht als bidruimte.","BRT","-","-","ja","nee","ja","01-01-2026","-"
"kas","kas","Voornamelijk uit glas opgebouwde overbouwing van de grond dat als beschermende ruimte dient voor bijvoorbeeld het kweken van planten in een wisselend klimaat.","BRT","Plastic kassen met een permanent karakter worden ook ingewonnen als kas. Ook kassen met een niet agrarische bestemming worden gegeven als kas.","-","nee","nee","ja","01-01-2026","-"
"kasteel","kasteel","Versterkt huis van een meestal adellijke heer uit de Middeleeuwen.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"kerk","kerk","Gebouw dat oorspronkelijk is gebouwd met het doel om er christelijke erediensten te kunnen houden en door een kenmerkende bouwstijl als zodanig herkenbaar is.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"kernreactor","kernreactor","Installatie voor het splijten of fuseren van atoomkernen.","BRT","Als de kernreactor gebruikt wordt om energie op te wekken, dan heeft het gehele complex de functie elektriciteitscentrale.","-","nee","nee","ja","01-01-2026","-"
"klokkentoren","klokkentoren","Toren t.b.v. de ophanging van een klokkenspel.","BRT","Alleen torens met ten minste 8 klokken worden ingewonnen als klokkentoren.","-","ja","nee","ja","01-01-2026","-"
"klooster, abdij","klooster, abdij","Gebouw bedoeld voor de huisvesting en eventueel het voorzien in levensonderhoud van een geloofsgemeenschap.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"koeltoren","koeltoren","Toren voor het afkoelen van overtollige warmte uit productieprocessen.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"luchtwachttoren","luchtwachttoren","Toren oorspronkelijk gebruikt t.b.v. het bewaken van het luchtruim.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"moskee","moskee","Gebouw dat oorspronkelijk is gebouwd met het doel om er islamitische erediensten te kunnen houden en door een kenmerkende bouwstijl als zodanig herkenbaar is.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"open loods","open loods","Niet verplaatsbaar licht gebouw met een open gevel, bestemd als berg- of werkplaats of als tijdelijk onderdak voor andere doeleinden.","BGT","-","-","nee","nee","ja","01-01-2026","-"
"opslagtank","opslagtank","Opslagfaciliteit voor vloeistoffen, gassen of energie.","BGT","-","-","nee","nee","ja","01-01-2026","-"
"overig religieus gebouw","overig religieus gebouw","Gebouw dat oorspronkelijk is gebouwd met het doel om er erediensten te kunnen houden en door een kenmerkende bouwstijl als zodanig herkenbaar is, niet zijnde een kerk, moskee en synagoge.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"paleis","paleis","Gebouw dat oorspronkelijk gebouwd is als ambtsverblijf met een openbare of cermoniële functie. Een paleis is vaak ook een (woon)huis voor de koninklijke familie.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"parkeergarage","parkeergarage","Al dan niet open bebouwing, geheel of gedeeltelijk in gebruik als openbare voorziening voor het parkeren van motorvoertuigen.","BRT","De toegang van een ondergrondse parkeergarage wordt aangegeven als een gebouwpunt.","-","ja","nee","ja","01-01-2026","-"
"radiotoren, televisietoren","radiotoren, televisietoren","Toren t.b.v. het verspreiden van radio- en televisiesignalen.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"schoorsteen","schoorsteen","Pijp voor het afvoeren van verbrandingsgassen.","BRT","-","-","ja","nee","ja","01-01-2026","-"
"stadion","stadion","Gebouw met tribunes en een sportveld voor het beoefenen van sport, in het bijzonder voor het houden van grote wedstrijden.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"synagoge","synagoge","Gebouw dat oorspronkelijk is gebouwd met het doel om er joodse erediensten te kunnen houden en door een kenmerkende bouwstijl als zodanig herkenbaar is.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"telecommunicatietoren","telecommunicatietoren","Toren t.b.v. datacommunicatie.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"toren","toren","Gebouw van grote hoogte in verhouding tot de doorsnede en steekt inde regel boven andere gebouwen uit. Een toren kan vrijstaand zijn of verbonden zijn met andere gebouwen.","BRT","-","-","ja","nee","ja","01-01-2026","-"
"uitzichttoren","uitzichttoren","Toren die gebruikt wordt om vanuit een hoog punt de wijde omgeving te kunnen bekijken.","BRT","-","-","ja","nee","ja","01-01-2026","-"
"verkeerstoren","verkeerstoren","Toren t.b.v. verkeersregulatie te land, ter zee of in de lucht.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"vuurtoren","vuurtoren","Toren als drager van een ter oriëntatie dienend licht, met name langs de kust. Het lichtpatroon van de vuurtoren is uniek t.o.v. elke andere vuurtoren of lichttoren.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"waterradmolen","waterradmolen","Bebouwing die het stromen of vallen van water, bijvoorbeeld in een beek of een rivier, door middel van een waterrad omzet in rotatie-energie.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"watertoren","watertoren","Toren (oorspronkelijk) bedoeld voor de opslag van drinkwater.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"waterwoning","waterwoning","Drijvende bebouwing met de uiterlijke kenmerken van een huis en met een permanente (flexibele) verankering.","BRT","Woonboten worden, ongeacht de verschijningsvorm, niet ingewonnen.","-","nee","nee","ja","01-01-2026","-"
"windmolen","windmolen","Boven de omgeving uitstekend bouwwerk in hout of steen dat bovenaan voorzien is van door de wind bewogen wieken die op hun beurt een inwendig mechanisme in werking stellen.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"windturbine","windturbine","Turbine waarin winddruk omgezet wordt in mechanische energie.","BGT","-","-","nee","nee","ja","01-01-2026","-"
"ongeclassificeerd","ongeclassificeerd","Het typeGebouw is anders dan de beschikbare attribuutwaarden.","BRT","-","-","nee","nee","ja","01-01-2026","-"
