"Code","Attribuutwaarde","Definitie attribuutwaarde","Herkomst definitie","Inwinningscriteria","Volledigheid","Punt","Lijn","Vlak","Datum vanaf","Datum tot"
"bosgebied","bosgebied","Met bos begroeid gebied.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"duingebied","duingebied","Heuvels van fijn zand, al dan niet begroeid met helmgras en struiken.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"eiland","eiland","Land, omgeven door water.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"geul, vaargeul","geul, vaargeul","Smal, meestal diep water (geul). / Geul van voldoende diepte als vaarwater tussen ondiepten door (vaargeul).","BRT","-","-","nee","nee","ja","01-01-2026","-"
"heidegebied","heidegebied","Met heide begroeid gebied.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"heuvel, berg","heuvel, berg","Verhoging van het terrein (heuvel). / Min of meer op zichzelf staande sterke verheffing van het aardoppervlak (berg).","BRT","-","-","nee","nee","ja","01-01-2026","-"
"kaap, hoek","kaap, hoek","In zee vooruitstekende landpunt (kaap). / In het water uitstekende landtong (hoek).","BRT","-","-","nee","nee","ja","01-01-2026","-"
"ondiepte, zandplaat","ondiepte, zandplaat","Ondiepe plaats in een vaarwater (ondiepte). / Geheel of gedeeltelijk droogvallende grond (zandplaat).","BRT","-","-","nee","nee","ja","01-01-2026","-"
"polder","polder","Een relatief laaggelegen, door de mens permanent drooggelegd stuk land of gebied dat door een of meer waterkeringen wordt omgeven en waarvan de waterstand kunstmatig wordt geregeld.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"streek, veld","streek, veld","Landstreek, gebied dat cultureel of landschappelijk een eenheid vormt (streek). / Het open land buiten steden en dorpen (veld).","BRT","-","-","nee","nee","ja","01-01-2026","-"
"terp, wierde","terp, wierde","Verhoging in het landschap oorspronkelijk bedoeld om de daarop gevestigde bebouwing te beschermen tegen het water.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"wad","wad","Ondiepe zee met een sterke getijdenwerking en van de open zee afgeschermd door eilanden. Valt deels droog bij eb.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"watergebied","watergebied","Een complex van meren en plassen.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"zee","zee","Uitgestrekt oppervlak zout water dat het grootste deel van de aarde bedekt.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"zeegat, zeearm","zeegat, zeearm","Plaats waar een binnenzee in een zee uitmondt (zeegat). / Lange smalle inham van een zee (zeearm).","BRT","-","-","nee","nee","ja","01-01-2026","-"
