"Code";"Attribuutwaarde";"Definitie attribuutwaarde";"Herkomst definitie";"Inwinningscriteria";"Volledigheid";"Punt";"Lijn";"Vlak";"Datum vanaf";"Datum tot"
"1";"affakkeltoren";"Installatie om brandbare gassen veilig af te voeren en te verbranden.";"BRT";"-";"-";"ja";"nee";"nee";"01-01-2025";"-"
"2";"baken";"Merkteken dat de loop van een vaargeul markeert of als baak op het land dienst doet voor de scheepvaart.";"BRT";"Drijvende bakens worden niet ingewonnen.";"-";"ja";"nee";"nee";"01-01-2025";"-"
"3";"bezinkbak";"Een gesloten reservoir waarin het afvalwater tijdelijk wordt opgevangen met een slibreinigende voorziening.";"BGT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"4";"bomenrij";"Aantal bomen (minimaal 3) die in een rij staan, waarbij de onderlinge afstand tussen de bomen zodanig is dat de bomenrij tot manshoogte geen zichtbelemmering vormt.";"BRT";"-";"-";"nee";"ja";"nee";"01-01-2025";"-"
"5";"boom";"Houtachtig gewas met een enkele, stevige, houtige en overblijvende stam, die zich op een zekere hoogte boven de grond vertakt.";"BRT";"-";"-";"ja";"nee";"nee";"01-01-2025";"-"
"6";"botenhelling";"Voorziening om boten uit of in het water te helpen.";"BRT";"-";"-";"ja";"nee";"nee";"01-01-2025";"-"
"7";"calamiteitendoorgang";"Doorgang in de verkeersgeleider of wegafsluiting die hulpdiensten doorgang moet verlenen voor het bestrijden van calamiteiten.";"BRT";"-";"-";"nee";"ja";"nee";"01-01-2025";"-"
"8";"dok";"Constructie bedoeld om schepen uit het water te halen en vervolgens weer in het water te laten.";"SOR";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"9";"dukdalf";"In het water geplaatste, zware al dan niet metalen paal of constructie, dienend tot bescherming van bruggen en sluizen.";"BRT";"-";"-";"ja";"nee";"nee";"01-01-2025";"-"
"10";"gedenkteken, monument";"Topografisch object ter nagedachtenis van een belangrijke persoon of gebeurtenis.";"BRT";"-";"-";"ja";"nee";"nee";"01-01-2025";"-"
"11";"geluidsscherm";"Een scheiding bedoeld om geluidshinder in de buitenlucht te verminderen.";"BGT";"-";"-";"nee";"ja";"nee";"01-01-2025";"-"
"12";"GNSS kernnetpunt";"Punt geschikt voor GNSS-metingen (kan een steen of bout zijn).";"BRT";"-";"-";"ja";"nee";"nee";"01-01-2025";"-"
"13";"grenspunt";"Aanduiding van een grensscheiding.";"BRT";"-";"-";"ja";"nee";"nee";"01-01-2025";"-"
"14";"heg, haag";"Rij bomen, al of niet in combinatie met struiken, waarbij de onderlinge afstand of onderbegroeiing zodanig is dat tot minstens manshoogte het zicht belemmerd wordt (heg). / Een rij naast elkaar geplante struiken (liguster, haagdoorn, coniferen, haagbeuk, e.d.) die op gezette tijden worden geschoren (haag).";"BRT";"Maximale inplantbreedte van de stammen: 3 meter (heg). / Minimale hoogte 1 meter, minimumlengte: 100 meter (haag)";"-";"nee";"ja";"nee";"01-01-2025";"-"
"15";"hek";"Begrenzing van een terrein in de vorm van een afrastering.";"BRT";"-";"-";"nee";"ja";"nee";"01-01-2025";"-"
"16";"hoogspanningsleiding";"Geleidedraden voor het transport van elektriciteit met een hoog voltage, ondersteund door hoogspanningsmasten.";"BRT";"-";"-";"nee";"ja";"nee";"01-01-2025";"-"
"17";"hoogspanningsmast";"Metalen mast of stellage ter ondersteuning van geleidedraden voor het transport van elektriciteit met een hoog voltage.";"BGT";"-";"-";"ja";"nee";"nee";"01-01-2025";"-"
"18";"hunebed";"Voorhistorische begraafplaats, bestaande uit opgestapelde, reusachtige stenen.";"BRT";"-";"-";"ja";"nee";"nee";"01-01-2025";"-"
"19";"kabelbaan";"Vervoermiddel waarbij één of meer stoeltjes of cabines door middel van een in de lucht hangende kabel over een traject worden getrokken.";"BRT";"-";"-";"nee";"ja";"nee";"01-01-2025";"-"
"20";"kabelbaanmast";"Mast of stellage ter ondersteuning van de kabel van een kabelbaan.";"BRT";"-";"-";"ja";"nee";"nee";"01-01-2025";"-"
"21";"kilometerpaal spoor";"Paal waarop de kilometrering van een spoorweg wordt aangegeven.";"BRT";"-";"-";"ja";"nee";"nee";"01-01-2025";"-"
"22";"kilometerpaal water";"Paal waarop de kilometrering van een water wordt aangegeven.";"BRT";"-";"-";"ja";"nee";"nee";"01-01-2025";"-"
"23";"kilometerpaal weg";"Paal waarop de kilometrering van een weg wordt aangegeven.";"BRT";"-";"-";"ja";"nee";"nee";"01-01-2025";"-"
"24";"klokkenstoel";"Stellage van balken (ongeacht het soort materiaal), meestal voorzien van een afdak, waarin een of meerdere klokken hangen.";"BRT";"-";"-";"ja";"nee";"nee";"01-01-2025";"-"
"25";"kruis";"Object tot bezinning en/of verering in de vorm van een kruis of heiligenbeeld.";"BRT";"-";"-";"ja";"nee";"nee";"01-01-2025";"-"
"26";"luchtvaartlicht";"Navigatielicht t.b.v. de luchtvaart.";"BRT";"-";"-";"ja";"nee";"nee";"01-01-2025";"-"
"27";"markant object";"Een object dat vanuit de wijde omgeving zichtbaar is en een oriënterende waarde heeft.";"BRT";"-";"-";"ja";"nee";"nee";"01-01-2025";"-"
"28";"muur";"Een scheiding gemaakt van steen.";"BGT";"-";"-";"nee";"ja";"nee";"01-01-2025";"-"
"29";"paal";"Stevig, langwerpig, rechtop in de grond geplaatst merkteken ter afbakening. / Kilometrering van een dijklichaaam.";"BRT";"-";"-";"ja";"nee";"nee";"01-01-2025";"-"
"30";"paalwerk";"Palissade, omheining van in de grond geslagen palen of staken ten behoeve van landaanwinning. Een enkele of dubbele rij palen met de functie het ontzanden van stranden tegen te gaan.";"BRT";"-";"-";"nee";"ja";"nee";"01-01-2025";"-"
"31";"peilschaal";"Lat met schaalverdeling voor het aflezen van de waterhoogte in een water.";"BRT";"-";"-";"ja";"nee";"nee";"01-01-2025";"-"
"32";"pijler";"Zuil die een bouwconstructie ondersteunt.";"BRT";"-";"-";"ja";"nee";"ja";"01-01-2025";"-"
"33";"plaatsnaambord";"Bord dat de naam weergeeft van een bewoond oord.";"BRT";"-";"-";"ja";"ja";"nee";"01-01-2025";"-"
"34";"radiotelescoop";"Instrument waarmee men radiogolven uit de kosmische ruimte kan opvangen.";"BRT";"-";"-";"ja";"nee";"nee";"01-01-2025";"-"
"35";"scheepvaartlicht";"Stellage die een licht draagt t.b.v. de scheepvaart.";"BRT";"-";"-";"ja";"nee";"nee";"01-01-2025";"-"
"36";"sluisdeur";"Een kunstmatige, beweegbare waterkering die de verbinding tussen twee wateren kan afsluiten of openstellen en daartoe van deuren of schuiven is voorzien.";"BGT";"-";"-";"ja";"ja";"nee";"01-01-2025";"-"
"37";"steiger";"Vaste (niet drijvende) waterbouwkundige constructie voor het aanleggen van schepen en bedoeld om deze schepen vanaf de wal te laden en te lossen.";"BGT";"-";"-";"nee";"ja";"ja";"01-01-2025";"-"
"38";"stormvloedkering";"Waterkering, bedoeld om bij extreem hoge waterstanden water af te sluiten ter bescherming van het achter de kering gelegen land.";"BRT";"-";"-";"nee";"ja";"nee";"01-01-2025";"-"
"39";"strandpaal";"Paal op het strand of in de duinen, geplaatst als hulpmiddel bij het uitvoeren van metingen.";"BRT";"-";"-";"ja";"nee";"nee";"01-01-2025";"-"
