"Code","Attribuutwaarde","Definitie attribuutwaarde","Herkomst definitie","Inwinningscriteria","Volledigheid","Punt","Lijn","Vlak","Datum vanaf","Datum tot"
"autosnelweg","autosnelweg","Wegdeel dat onderdeel is van een weg uitsluitend bestemd voor snelverkeer en met gescheiden rijbanen en ongelijkvloerse kruisingen, daartoe aangeduid met het betreffende verkeersbord.","BGT","-","-","nee","nee","ja","01-01-2026","-"
"autoweg","autoweg","Wegdeel dat onderdeel is van een weg uitsluitend bestemd voor snelverkeer, daartoe aangeduid met het betreffende verkeersbord.","BGT","-","-","nee","nee","ja","01-01-2026","-"
"hoofdweg","hoofdweg","Wegdeel, niet zijnde een autosnelweg of autoweg, dat is aangeduid met een E-nummer, maar niet met een A-nummer, of verharde weg die onderdeel is van een verbindingsroute tussen grotere plaatsen, wat blijkt uit blauwe ANWB-borden, dan wel onderdeel is van een route om eindigende A of E-routes tot een gesloten netwerk te completeren.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"regionale weg","regionale weg","Wegdeel dat onderdeel is van een weg die een verbinding vormt tussen bewoonde oorden of tussen wijken binnen een dorp of stad.","BGT","-","-","nee","nee","ja","01-01-2026","-"
"lokale weg","lokale weg","Wegdeel dat onderdeel is van een weg van lokaal belang.","BGT","-","-","nee","nee","ja","01-01-2026","-"
"straat","straat","Wegdeel dat onderdeel is van een weg van zeer plaatselijk belang, gelegen binnen gebied met bebouwing.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"parkeerplaats","parkeerplaats","Parkeergelegenheid voor het parkeren van meerdere voertuigen in de openlucht met een aparte toegang vanaf de doorgaande weg.","SOR","-","-","nee","nee","ja","01-01-2026","-"
"OV-baan","OV-baan","Wegdeel dat uitsluitend is bestemd en gemarkeerd voor openbaar vervoer en afgescheiden is van de andere wegdelen niet uitsluitend door markering.","BGT","-","-","nee","nee","ja","01-01-2026","-"
"fietspad","fietspad","Wegdeel met name bestemd voor fietsers en, indien toegestaan, bromfietsers en dat afgescheiden is van de andere wegdelen niet uitsluitend door markering.","BGT","-","-","nee","ja","ja","01-01-2026","-"
"voetpad","voetpad","Wegdeel waar voetgangers gebruik van moeten maken.","BGT","-","-","nee","ja","ja","01-01-2026","-"
"voetgangersgebied","voetgangersgebied","Wegdeel alleen voor het gebruik door voetgangers, waarbij het door voetgangers te gebruiken gebied de volle breedte van de weg beslaat en het gebied een nadrukkelijk openbaar karakter heeft.","BGT","-","-","nee","nee","ja","01-01-2026","-"
"startbaan, landingsbaan","startbaan, landingsbaan","Wegdeel uitsluitend bedoeld voor vliegverkeer ten behoeve van het opstijgen en landen van vliegtuigen.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"rolbaan, platform","rolbaan, platform","Wegdeel uitsluitend bedoeld voor vliegverkeer ten behoeve van het taxiën en/of het parkeren van vliegtuigen.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"veerverbinding","veerverbinding","Vastgelegde route over water om voertuigen en personen over te zetten al dan niet op basis van een vaste dienstregeling.","BRT","-","-","nee","ja","nee","01-01-2026","-"
"fietsveer","fietsveer","Vastgelegde route over water om fietsers en voetgangers over te zetten al dan niet op basis van een vaste dienstregeling.","BRT","-","-","nee","ja","nee","01-01-2026","-"
"voetveer","voetveer","Vastgelegde route over water om voetgangers over te zetten al dan niet op basis van een vaste dienstregeling.","BRT","-","-","nee","ja","nee","01-01-2026","-"
"ongeclassificeerd","ongeclassificeerd","Het typeWeg is anders dan de beschikbare attribuutwaarden.","BRT","-","-","nee","nee","ja","01-01-2026","-"
